kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
fake_rejections,0.5,0.85,none,6,0.37352801151368176,1.0,0.39924578119699183,0.25486123133443206,-0.02396610012995637
fake_rejections,0.5,0.85,none,7,0.37882371669017606,0.8468260695910386,0.39525893477957097,0.2536523507892636,-0.03032995705334307
fake_rejections,0.5,0.85,none,8,0.39822960500926047,1.0,0.39352115053260656,0.28747737586033484,-0.017533602167634443
fake_rejections,0.5,0.85,none,9,0.3767496557860801,1.0,0.3985328465194543,0.3281741258040223,-0.014149463851241384
fake_rejections,0.5,0.85,none,10,0.364028969863657,1.0,0.38994591040024873,0.2628590463506246,-0.023190740008193433
fake_rejections,0.75,0.85,none,1,0.1962382525238141,1.0,0.7830346209594536,0.10903782119945715,-0.012074297556651792
fake_rejections,0.75,0.85,none,2,0.1665005678265735,0.4126334092261128,0.7883363365973209,0.13464127748896404,-0.01461064845340132
fake_rejections,0.75,0.85,none,3,0.18252213761759592,1.0,0.7807984667453614,0.17747174048710823,-0.01173196952370359
fake_rejections,0.75,0.85,none,4,0.18837752132132082,1.0,0.789197303756977,0.15171150634367403,-0.006887508670632703
fake_rejections,0.75,0.85,none,5,0.1951946967884041,0.4126334092261128,0.79021561645319,0.1584448371044398,-0.007737028452729389
fake_rejections,0.75,0.85,none,6,0.1871040504189832,1.0,0.7892337644442561,0.10876976971591334,-0.015571995100979286
fake_rejections,0.75,0.85,none,7,0.18411245262318815,0.4126334092261128,0.7855844822879173,0.12108402230656523,-0.011886944288209356
fake_rejections,0.75,0.85,none,8,0.19522339602773486,1.0,0.7888333999981987,0.14225376640796572,-0.00860138458335169
fake_rejections,0.75,0.85,none,9,0.18543344340875986,1.0,0.7900294270724567,0.15551497405277237,-0.013753127042728575
fake_rejections,0.75,0.85,none,10,0.18140917348353475,1.0,0.7770960036577761,0.11350169117148323,-0.014702616197509788
fake_violations,0.0,0.85,none,1,0.5078333333333334,1.08,0.0,0.24975293654439845,-0.02449050067879277
fake_violations,0.0,0.85,none,2,0.44383333333333336,1.08,0.0,0.3086577986870578,-0.03304324190112573
fake_violations,0.0,0.85,none,3,0.460625,1.08,0.0,0.34630079048519713,-0.023076321793892962
